years_of_experience,aerodynamics_score,technological_score,Leadership Score ,Leader,,,W1,W2,W3
10,41,6,502,1,,,,,
7,38,5,450,0,,,,,
18,49,4,608,1,,,,,
7,42,10,525,1,,,,,
3,41,5,460,1,,,,,
15,45,9,588,1,,,,,
18,28,8,426,0,,,,,
13,44,8,561,1,,,,,
2,36,9,433,0,,,,,
1,21,6,257,0,,,,,
14,43,9,563,1,,,,,
5,39,4,443,0,,,,,
4,6,6,122,0,,,,,
10,50,8,606,1,,,,,
14,30,2,384,0,,,,,
15,32,7,444,0,,,,,
16,42,6,542,1,,,,,
7,13,7,214,0,,,,,
5,18,1,212,0,,,,,
3,11,8,181,0,,,,,
0,27,7,319,0,,,,,
8,16,2,214,0,,,,,
20,5,8,206,0,,,,,
15,32,3,416,0,,,,,
12,33,9,453,1,,,,,
11,6,10,185,0,,,,,
4,28,7,349,0,,,,,
13,19,1,262,0,,,,,
15,28,5,390,0,,,,,
11,33,3,406,0,,,,,
10,34,6,432,0,,,,,
20,23,4,358,0,,,,,
16,31,3,411,0,,,,,
7,29,5,360,0,,,,,
4,44,4,488,1,,,,,
4,22,2,254,0,,,,,
5,17,8,251,0,,,,,
8,42,10,530,1,,,,,
11,6,7,164,0,,,,,
6,19,9,283,0,,,,,
12,25,6,352,0,,,,,
8,24,2,294,0,,,,,
2,28,9,353,0,,,,,
18,49,8,636,1,,,,,
9,32,10,435,0,,,,,
7,26,10,365,0,,,,,
3,17,4,213,0,,,,,
19,31,8,461,1,,,,,
10,5,4,128,0,,,,,
18,18,8,326,0,,,,,
14,16,6,272,0,,,,,
7,12,4,183,0,,,,,
14,15,7,269,0,,,,,
6,10,7,179,0,,,,,
0,43,1,437,0,,,,,
18,40,7,539,1,,,,,
9,32,10,435,0,,,,,
13,46,1,532,1,,,,,
18,44,7,579,1,,,,,
5,24,6,307,0,,,,,
11,44,3,516,1,,,,,
6,25,1,287,0,,,,,
8,19,10,300,0,,,,,
3,48,8,551,1,,,,,
19,49,4,613,1,,,,,
9,13,9,238,0,,,,,
9,25,3,316,0,,,,,
3,40,1,422,0,,,,,
4,23,8,306,0,,,,,
3,11,4,153,0,,,,,
2,15,5,195,0,,,,,
18,31,8,456,1,,,,,
9,29,7,384,0,,,,,
11,47,10,595,1,,,,,
17,5,2,149,0,,,,,
14,26,9,393,0,,,,,
5,46,8,541,1,,,,,
18,44,6,572,1,,,,,
14,5,1,127,0,,,,,
20,18,9,343,0,,,,,
4,19,3,231,0,,,,,
19,19,9,348,0,,,,,
12,21,10,340,0,,,,,
16,36,5,475,1,,,,,
10,46,10,580,1,,,,,
1,12,7,174,0,,,,,
12,28,3,361,0,,,,,
9,23,8,331,0,,,,,
15,25,3,346,0,,,,,
4,37,4,418,0,,,,,
12,20,3,281,0,,,,,
17,40,4,513,1,,,,,
0,21,4,238,0,,,,,
8,9,10,200,0,,,,,
17,17,8,311,0,,,,,
11,49,2,559,1,,,,,
6,13,3,181,0,,,,,
12,36,9,483,1,,,,,
9,35,8,451,1,,,,,
5,48,2,519,1,,,,,
17,14,3,246,0,,,,,
14,39,1,467,1,,,,,
1,8,8,141,0,,,,,
14,38,8,506,1,,,,,
9,33,9,438,0,,,,,
15,48,3,576,1,,,,,
15,11,3,206,0,,,,,
15,16,8,291,0,,,,,
12,44,5,535,1,,,,,
6,14,2,184,0,,,,,
8,48,5,555,1,,,,,
11,27,7,374,0,,,,,
7,8,4,143,0,,,,,
6,20,3,251,0,,,,,
20,20,10,370,0,,,,,
2,12,7,179,0,,,,,
18,46,2,564,1,,,,,
0,42,9,483,1,,,,,
4,11,5,165,0,,,,,
17,32,4,433,0,,,,,
10,8,2,144,0,,,,,
0,32,5,355,0,,,,,
9,7,9,178,0,,,,,
6,30,5,365,0,,,,,
7,6,8,151,0,,,,,
3,20,1,222,0,,,,,
18,35,9,503,1,,,,,
10,25,5,335,0,,,,,
13,16,10,295,0,,,,,
2,19,9,263,0,,,,,
6,43,6,502,1,,,,,
20,45,2,564,1,,,,,
1,43,3,456,1,,,,,
15,30,7,424,0,,,,,
13,6,4,153,0,,,,,
2,18,2,204,0,,,,,
6,33,8,416,0,,,,,
10,30,10,420,0,,,,,
5,32,10,415,0,,,,,
3,8,10,165,0,,,,,
9,47,3,536,1,,,,,
1,45,3,476,1,,,,,
7,24,2,289,0,,,,,
7,50,3,556,1,,,,,
13,16,1,232,0,,,,,
1,15,9,218,0,,,,,
16,18,3,281,0,,,,,
7,37,10,475,1,,,,,
3,49,2,519,1,,,,,
16,12,10,270,0,,,,,
7,28,7,364,0,,,,,
10,14,7,239,0,,,,,
2,46,8,526,1,,,,,
7,24,2,289,0,,,,,
1,11,1,122,0,,,,,
2,41,9,483,1,,,,,
6,36,9,453,1,,,,,
16,21,3,311,0,,,,,
20,50,6,642,1,,,,,
13,43,7,544,1,,,,,
16,33,4,438,0,,,,,
3,44,9,518,1,,,,,
18,24,1,337,0,,,,,
18,39,9,543,1,,,,,
7,25,7,334,0,,,,,
10,49,3,561,1,,,,,
12,32,6,422,0,,,,,
15,19,7,314,0,,,,,
17,35,9,498,1,,,,,
14,17,5,275,0,,,,,
12,15,1,217,0,,,,,
12,28,9,403,0,,,,,
13,43,9,558,1,,,,,
6,50,4,558,1,,,,,
5,39,4,443,0,,,,,
1,34,6,387,0,,,,,
2,23,10,310,0,,,,,
16,13,8,266,0,,,,,
19,31,6,447,0,,,,,
14,15,2,234,0,,,,,
15,44,6,557,1,,,,,
18,40,4,518,1,,,,,
12,25,9,373,0,,,,,
8,23,8,326,0,,,,,
17,9,2,189,0,,,,,
13,6,2,139,0,,,,,
8,35,7,439,0,,,,,
11,31,1,372,0,,,,,
3,14,9,218,0,,,,,
12,46,8,576,1,,,,,
0,31,1,317,0,,,,,
16,13,5,245,0,,,,,
18,22,10,380,0,,,,,
3,41,5,460,1,,,,,
15,16,6,277,0,,,,,
20,18,9,343,0,,,,,
7,10,3,156,0,,,,,
17,15,2,249,0,,,,,
8,20,2,254,0,,,,,
9,22,7,314,0,,,,,
20,13,10,300,0,,,,,
3,18,6,237,0,,,,,
4,18,1,207,0,,,,,
20,47,7,619,1,,,,,
15,19,3,286,0,,,,,
9,49,9,598,1,,,,,
3,22,10,305,0,,,,,
13,18,8,301,0,,,,,
4,10,3,141,0,,,,,
18,48,8,626,1,,,,,
8,32,8,416,0,,,,,
16,28,2,374,0,,,,,
8,25,1,297,0,,,,,
7,25,3,306,0,,,,,
4,37,9,453,1,,,,,
17,10,3,206,0,,,,,
16,35,5,465,1,,,,,
9,47,5,550,1,,,,,
14,17,3,261,0,,,,,
6,30,9,393,0,,,,,
7,47,8,561,1,,,,,
7,44,7,524,1,,,,,
6,19,9,283,0,,,,,
9,12,7,214,0,,,,,
16,19,9,333,0,,,,,
12,43,6,532,1,,,,,
3,41,6,467,1,,,,,
6,48,7,559,1,,,,,
16,49,1,577,1,,,,,
7,5,2,99,0,,,,,
16,13,6,252,0,,,,,
14,44,2,524,1,,,,,
8,8,8,176,0,,,,,
12,20,3,281,0,,,,,
3,11,1,132,0,,,,,
11,23,8,341,0,,,,,
4,42,5,475,1,,,,,
0,18,10,250,0,,,,,
7,9,10,195,0,,,,,
14,8,10,220,0,,,,,
2,25,1,267,0,,,,,
11,29,5,380,0,,,,,
1,30,6,347,0,,,,,
14,16,3,251,0,,,,,
3,41,3,446,0,,,,,
8,48,10,590,1,,,,,
2,24,7,299,0,,,,,
8,31,10,420,0,,,,,
10,18,5,265,0,,,,,
1,13,6,177,0,,,,,
3,11,7,174,0,,,,,
6,16,1,197,0,,,,,
14,35,8,476,1,,,,,
20,23,6,372,0,,,,,
10,6,8,166,0,,,,,
5,30,8,381,0,,,,,
16,46,4,568,1,,,,,
8,50,9,603,1,,,,,
17,41,9,558,1,,,,,
19,43,2,539,1,,,,,
15,23,10,375,0,,,,,
3,10,1,122,0,,,,,
13,6,10,195,0,,,,,
8,47,10,580,1,,,,,
9,31,2,369,0,,,,,
12,7,5,165,0,,,,,
2,12,7,179,0,,,,,
0,21,8,266,0,,,,,
5,49,4,543,1,,,,,
9,43,6,517,1,,,,,
4,49,9,573,1,,,,,
20,7,10,240,0,,,,,
2,22,2,244,0,,,,,
8,8,6,162,0,,,,,
17,9,8,231,0,,,,,
12,36,7,469,1,,,,,
1,25,5,290,0,,,,,
2,13,3,161,0,,,,,
20,47,5,605,1,,,,,
6,5,8,136,0,,,,,
14,41,2,494,1,,,,,
19,18,5,310,0,,,,,
10,21,6,302,0,,,,,
19,19,5,320,0,,,,,
3,12,10,205,0,,,,,
10,18,2,244,0,,,,,
18,25,5,375,0,,,,,
17,47,2,569,1,,,,,
16,28,9,423,0,,,,,
2,21,4,248,0,,,,,
14,31,1,387,0,,,,,
15,28,1,362,0,,,,,
1,44,5,480,1,,,,,
9,49,1,542,1,,,,,
16,17,7,299,0,,,,,
14,8,1,157,0,,,,,
13,20,7,314,0,,,,,
16,9,1,177,0,,,,,
16,32,8,456,1,,,,,
8,28,6,362,0,,,,,
16,12,9,263,0,,,,,
13,42,6,527,1,,,,,
10,11,1,167,0,,,,,
20,26,2,374,0,,,,,
19,38,9,538,1,,,,,
12,23,5,325,0,,,,,
19,7,5,200,0,,,,,
13,36,9,488,1,,,,,
5,43,2,469,1,,,,,
0,10,4,128,0,,,,,
9,21,9,318,0,,,,,
1,40,9,468,1,,,,,
16,40,2,494,1,,,,,
7,35,4,413,0,,,,,
17,44,5,560,1,,,,,
1,40,6,447,0,,,,,
4,43,2,464,1,,,,,
16,17,7,299,0,,,,,
9,30,10,415,0,,,,,
7,13,5,200,0,,,,,
15,5,6,167,0,,,,,
8,25,9,353,0,,,,,
14,15,4,248,0,,,,,
16,12,2,214,0,,,,,
17,25,7,384,0,,,,,
8,31,8,406,0,,,,,
17,16,7,294,0,,,,,
9,14,10,255,0,,,,,
6,8,9,173,0,,,,,
9,46,4,533,1,,,,,
10,33,7,429,0,,,,,
5,20,5,260,0,,,,,
7,22,5,290,0,,,,,
18,22,6,352,0,,,,,
14,34,2,424,0,,,,,
1,8,7,134,0,,,,,
11,12,10,245,0,,,,,
19,44,6,577,1,,,,,
15,24,7,364,0,,,,,
10,37,10,490,1,,,,,
19,6,8,211,0,,,,,
2,9,6,142,0,,,,,
10,33,10,450,0,,,,,
10,38,9,493,1,,,,,
0,50,7,549,1,,,,,
19,32,4,443,0,,,,,
10,39,1,447,0,,,,,
16,37,10,520,1,,,,,
5,33,5,390,0,,,,,
11,25,2,319,0,,,,,
2,20,4,238,0,,,,,
2,9,8,156,0,,,,,
10,35,4,428,0,,,,,
20,27,8,426,0,,,,,
20,46,9,623,1,,,,,
3,14,9,218,0,,,,,
14,45,1,527,1,,,,,
2,44,1,457,1,,,,,
14,22,3,311,0,,,,,
3,42,4,463,1,,,,,
17,9,3,196,0,,,,,
12,44,10,570,1,,,,,
17,36,3,466,1,,,,,
9,29,10,405,0,,,,,
1,28,1,292,0,,,,,
5,5,5,110,0,,,,,
18,18,6,312,0,,,,,
18,31,3,421,0,,,,,
2,22,9,293,0,,,,,
14,43,10,570,1,,,,,
3,21,6,267,0,,,,,
9,25,7,344,0,,,,,
7,41,8,501,1,,,,,
13,10,1,172,0,,,,,
7,18,3,236,0,,,,,
4,44,1,467,1,,,,,
6,15,1,187,0,,,,,
11,48,3,556,1,,,,,
9,25,4,323,0,,,,,
8,38,8,476,1,,,,,
4,44,6,502,1,,,,,
9,7,4,143,0,,,,,
8,10,6,182,0,,,,,
6,18,3,231,0,,,,,
11,16,7,264,0,,,,,
7,47,3,526,1,,,,,
13,18,4,273,0,,,,,
16,18,1,267,0,,,,,
19,15,6,287,0,,,,,
13,29,9,418,0,,,,,
8,36,8,456,1,,,,,
6,43,3,481,1,,,,,
8,14,9,243,0,,,,,
13,45,4,543,1,,,,,
16,6,2,154,0,,,,,
19,39,10,555,1,,,,,
20,36,8,516,1,,,,,
3,17,5,220,0,,,,,
14,41,9,543,1,,,,,
0,36,6,402,0,,,,,
14,38,8,506,1,,,,,
6,16,9,253,0,,,,,
3,29,5,340,0,,,,,
11,7,3,146,0,,,,,
1,16,6,207,0,,,,,
4,12,8,196,0,,,,,
11,39,4,473,1,,,,,
20,7,1,177,0,,,,,
0,44,1,447,0,,,,,
3,31,2,339,0,,,,,
17,16,4,273,0,,,,,
7,15,7,234,0,,,,,
1,18,1,192,0,,,,,
7,22,1,262,0,,,,,
19,49,9,648,1,,,,,
18,44,6,572,1,,,,,
19,12,5,250,0,,,,,
3,33,2,359,0,,,,,
15,13,7,254,0,,,,,
3,15,1,172,0,,,,,
19,44,10,605,1,,,,,
19,29,9,448,0,,,,,
8,13,8,226,0,,,,,
0,19,8,246,0,,,,,
10,38,9,493,1,,,,,
5,17,9,258,0,,,,,
5,18,9,268,0,,,,,
4,12,10,210,0,,,,,
10,10,5,185,0,,,,,
16,7,4,178,0,,,,,
6,15,10,250,0,,,,,
16,35,9,493,1,,,,,
5,29,10,385,0,,,,,
7,5,8,141,0,,,,,
20,21,3,331,0,,,,,
8,37,6,452,1,,,,,
6,21,2,254,0,,,,,
0,41,3,431,0,,,,,
16,38,6,502,1,,,,,
1,41,9,478,1,,,,,
1,21,9,278,0,,,,,
0,7,8,126,0,,,,,
2,14,6,192,0,,,,,
17,31,7,444,0,,,,,
11,36,7,464,1,,,,,
2,48,4,518,1,,,,,
10,18,6,272,0,,,,,
1,48,8,541,1,,,,,
12,20,9,323,0,,,,,
16,28,1,367,0,,,,,
5,24,5,300,0,,,,,
9,29,7,384,0,,,,,
16,37,2,464,1,,,,,
9,20,5,280,0,,,,,
0,44,10,510,1,,,,,
0,49,4,518,1,,,,,
7,26,3,316,0,,,,,
12,39,6,492,1,,,,,
0,26,8,316,0,,,,,
10,41,3,481,1,,,,,
4,21,9,293,0,,,,,
20,30,1,407,0,,,,,
1,11,8,171,0,,,,,
17,5,7,184,0,,,,,
5,34,10,435,0,,,,,
6,48,1,517,1,,,,,
11,9,3,166,0,,,,,
20,8,7,229,0,,,,,
3,31,9,388,0,,,,,
9,38,7,474,1,,,,,
7,18,1,222,0,,,,,
6,40,9,493,1,,,,,
15,7,2,159,0,,,,,
17,46,2,559,1,,,,,
17,18,3,286,0,,,,,
14,28,4,378,0,,,,,
3,49,6,547,1,,,,,
2,37,3,401,0,,,,,
17,20,1,292,0,,,,,
17,29,4,403,0,,,,,
15,38,6,497,1,,,,,
14,12,9,253,0,,,,,
13,30,3,386,0,,,,,
7,19,5,260,0,,,,,
4,18,1,207,0,,,,,
11,49,6,587,1,,,,,
1,7,7,124,0,,,,,
14,18,4,278,0,,,,,
17,39,6,517,1,,,,,
13,6,6,167,0,,,,,
6,27,7,349,0,,,,,
5,45,9,538,1,,,,,
10,37,3,441,0,,,,,
16,43,10,580,1,,,,,
19,17,8,321,0,,,,,
0,32,10,390,0,,,,,
11,8,4,163,0,,,,,
0,26,1,267,0,,,,,
6,7,7,149,0,,,,,
12,9,7,199,0,,,,,
13,24,5,340,0,,,,,
10,32,1,377,0,,,,,
20,10,9,263,0,,,,,
4,13,8,206,0,,,,,
4,14,8,216,0,,,,,
19,8,1,182,0,,,,,
2,45,5,495,1,,,,,
8,30,9,403,0,,,,,
0,45,10,520,1,,,,,
1,19,1,202,0,,,,,
12,22,2,294,0,,,,,
20,50,2,614,1,,,,,
0,38,6,422,0,,,,,
15,49,7,614,1,,,,,
16,41,3,511,1,,,,,
4,6,4,108,0,,,,,
19,46,8,611,1,,,,,
2,37,2,394,0,,,,,
19,43,10,595,1,,,,,
9,38,2,439,0,,,,,
12,18,9,303,0,,,,,
7,34,4,403,0,,,,,
8,8,3,141,0,,,,,
7,34,3,396,0,,,,,
18,39,1,487,1,,,,,
19,39,8,541,1,,,,,
2,48,3,511,1,,,,,
19,25,4,373,0,,,,,
13,11,7,224,0,,,,,
5,46,2,499,1,,,,,
3,25,1,272,0,,,,,
6,20,9,293,0,,,,,
5,49,4,543,1,,,,,
14,33,3,421,0,,,,,
5,40,8,481,1,,,,,
8,29,10,400,0,,,,,
12,32,10,450,0,,,,,
20,49,2,604,1,,,,,
3,19,1,212,0,,,,,
7,5,7,134,0,,,,,
0,47,4,498,1,,,,,
9,50,3,566,1,,,,,
14,47,8,596,1,,,,,
13,13,6,237,0,,,,,
13,30,3,386,0,,,,,
0,44,10,510,1,,,,,
0,41,9,473,1,,,,,
9,24,7,334,0,,,,,
12,32,9,443,0,,,,,
11,11,2,179,0,,,,,
4,29,5,345,0,,,,,
6,25,10,350,0,,,,,
20,15,4,278,0,,,,,
2,35,1,367,0,,,,,
7,37,4,433,0,,,,,
6,25,10,350,0,,,,,
18,16,9,313,0,,,,,
3,32,7,384,0,,,,,
12,48,7,589,1,,,,,
20,33,5,465,1,,,,,
0,39,3,411,0,,,,,
8,44,5,515,1,,,,,
18,48,5,605,1,,,,,
8,22,1,267,0,,,,,
6,50,5,565,1,,,,,
11,39,3,466,1,,,,,
2,32,5,365,0,,,,,
12,50,4,588,1,,,,,
20,33,9,493,1,,,,,
4,30,5,355,0,,,,,
14,31,2,394,0,,,,,
13,50,2,579,1,,,,,
16,45,1,537,1,,,,,
16,50,1,587,1,,,,,
10,50,4,578,1,,,,,
15,19,2,279,0,,,,,
6,11,1,147,0,,,,,
13,42,10,555,1,,,,,
5,18,3,226,0,,,,,
15,28,8,411,0,,,,,
10,32,2,384,0,,,,,
11,6,1,122,0,,,,,
13,11,5,210,0,,,,,
17,5,9,198,0,,,,,
10,15,10,270,0,,,,,
11,33,1,392,0,,,,,
15,16,8,291,0,,,,,
19,42,8,571,1,,,,,
2,34,6,392,0,,,,,
4,39,3,431,0,,,,,
19,13,4,253,0,,,,,
4,21,7,279,0,,,,,
16,20,4,308,0,,,,,
18,20,6,332,0,,,,,
0,13,6,172,0,,,,,
9,5,10,165,0,,,,,
12,35,5,445,0,,,,,
19,40,9,558,1,,,,,
12,24,7,349,0,,,,,
10,35,10,470,1,,,,,
13,30,4,393,0,,,,,
9,16,3,226,0,,,,,
15,45,5,560,1,,,,,
10,49,2,554,1,,,,,
4,45,2,484,1,,,,,
3,40,9,478,1,,,,,
6,16,1,197,0,,,,,
7,6,1,102,0,,,,,
18,36,6,492,1,,,,,
5,5,1,82,0,,,,,
11,42,3,496,1,,,,,
14,32,6,432,0,,,,,
12,25,5,345,0,,,,,
18,8,3,191,0,,,,,
7,9,2,139,0,,,,,
9,5,10,165,0,,,,,
13,43,1,502,1,,,,,
8,6,2,114,0,,,,,
10,8,3,151,0,,,,,
15,16,9,298,0,,,,,
13,17,6,277,0,,,,,
4,22,10,310,0,,,,,
3,32,1,342,0,,,,,
0,26,2,274,0,,,,,
13,45,6,557,1,,,,,
19,34,4,463,1,,,,,
12,27,5,365,0,,,,,
13,30,9,428,0,,,,,
12,48,3,561,1,,,,,
5,11,6,177,0,,,,,
18,18,3,291,0,,,,,
8,38,1,427,0,,,,,
12,30,2,374,0,,,,,
10,38,3,451,1,,,,,
17,15,3,256,0,,,,,
13,42,6,527,1,,,,,
7,36,10,465,1,,,,,
1,44,1,452,1,,,,,
5,14,4,193,0,,,,,
4,15,4,198,0,,,,,
8,10,3,161,0,,,,,
19,32,1,422,0,,,,,
2,26,6,312,0,,,,,
13,19,6,297,0,,,,,
3,14,10,225,0,,,,,
0,35,4,378,0,,,,,
11,22,6,317,0,,,,,
3,43,9,508,1,,,,,
1,50,5,540,1,,,,,
12,43,1,497,1,,,,,
12,10,1,167,0,,,,,
17,33,10,485,1,,,,,
3,26,2,289,0,,,,,
15,35,4,453,1,,,,,
17,33,2,429,0,,,,,
16,38,6,502,1,,,,,
18,30,6,432,0,,,,,
10,42,1,477,1,,,,,
17,42,4,533,1,,,,,
3,21,9,288,0,,,,,
17,32,8,461,1,,,,,
3,43,6,487,1,,,,,
9,35,5,430,0,,,,,
13,21,1,282,0,,,,,
11,47,9,588,1,,,,,
17,19,5,310,0,,,,,
0,22,8,276,0,,,,,
2,6,8,126,0,,,,,
8,24,6,322,0,,,,,
13,18,3,266,0,,,,,
11,50,5,590,1,,,,,
14,23,8,356,0,,,,,
16,44,4,548,1,,,,,
3,50,5,550,1,,,,,
20,30,2,414,0,,,,,
2,40,5,445,0,,,,,
8,48,10,590,1,,,,,
7,32,3,376,0,,,,,
12,33,5,425,0,,,,,
9,8,9,188,0,,,,,
2,41,10,490,1,,,,,
20,26,7,409,0,,,,,
4,26,10,350,0,,,,,
2,26,2,284,0,,,,,
6,24,5,305,0,,,,,
9,29,6,377,0,,,,,
8,33,3,391,0,,,,,
15,42,5,530,1,,,,,
4,33,1,357,0,,,,,
15,28,8,411,0,,,,,
19,17,9,328,0,,,,,
19,45,5,580,1,,,,,
10,35,5,435,0,,,,,
19,49,2,599,1,,,,,
14,5,3,141,0,,,,,
15,14,6,257,0,,,,,
1,24,4,273,0,,,,,
16,11,8,246,0,,,,,
17,49,5,610,1,,,,,
20,43,3,551,1,,,,,
20,22,6,362,0,,,,,
7,44,10,545,1,,,,,
6,11,2,154,0,,,,,
13,30,6,407,0,,,,,
15,44,8,571,1,,,,,
8,45,7,539,1,,,,,
7,8,7,164,0,,,,,
8,25,2,304,0,,,,,
16,36,3,461,1,,,,,
9,43,7,524,1,,,,,
7,43,1,472,1,,,,,
1,13,6,177,0,,,,,
5,24,3,286,0,,,,,
2,34,4,378,0,,,,,
19,12,7,264,0,,,,,
3,12,2,149,0,,,,,
15,7,3,166,0,,,,,
10,24,2,304,0,,,,,
8,21,4,278,0,,,,,
12,22,5,315,0,,,,,
11,43,4,513,1,,,,,
8,18,8,276,0,,,,,
1,35,5,390,0,,,,,
1,20,7,254,0,,,,,
17,35,1,442,0,,,,,
19,15,7,294,0,,,,,
17,46,2,559,1,,,,,
10,45,5,535,1,,,,,
15,15,6,267,0,,,,,
8,25,1,297,0,,,,,
2,16,5,205,0,,,,,
8,11,3,171,0,,,,,
2,34,9,413,0,,,,,
7,28,8,371,0,,,,,
19,45,4,573,1,,,,,
0,5,4,78,0,,,,,
3,38,3,416,0,,,,,
9,39,5,470,1,,,,,
11,46,7,564,1,,,,,
1,26,5,300,0,,,,,
1,20,1,212,0,,,,,
17,32,10,475,1,,,,,
20,44,8,596,1,,,,,
8,29,5,365,0,,,,,
12,19,2,264,0,,,,,
18,19,10,350,0,,,,,
20,48,4,608,1,,,,,
19,34,2,449,0,,,,,
8,24,3,301,0,,,,,
13,34,10,475,1,,,,,
11,6,9,178,0,,,,,
14,40,2,484,1,,,,,
8,7,5,145,0,,,,,
11,26,2,329,0,,,,,
6,18,10,280,0,,,,,
1,34,4,373,0,,,,,
0,38,7,429,0,,,,,
20,24,3,361,0,,,,,
1,46,5,500,1,,,,,
0,6,9,123,0,,,,,
7,42,2,469,1,,,,,
6,48,3,531,1,,,,,
1,15,7,204,0,,,,,
8,29,7,379,0,,,,,
12,25,10,380,0,,,,,
17,15,8,291,0,,,,,
1,47,5,510,1,,,,,
8,6,10,170,0,,,,,
9,39,10,505,1,,,,,
18,5,3,161,0,,,,,
3,16,4,203,0,,,,,
0,36,6,402,0,,,,,
8,22,2,274,0,,,,,
8,21,4,278,0,,,,,
8,28,2,334,0,,,,,
11,14,3,216,0,,,,,
14,50,6,612,1,,,,,
1,38,10,455,1,,,,,
2,25,1,267,0,,,,,
17,5,2,149,0,,,,,
19,7,4,193,0,,,,,
14,19,6,302,0,,,,,
5,25,4,303,0,,,,,
10,11,2,174,0,,,,,
1,13,5,170,0,,,,,
7,22,6,297,0,,,,,
3,26,1,282,0,,,,,
7,12,6,197,0,,,,,
17,49,3,596,1,,,,,
4,43,7,499,1,,,,,
9,5,1,102,0,,,,,
14,23,6,342,0,,,,,
12,36,2,434,0,,,,,
3,30,8,371,0,,,,,
8,47,5,545,1,,,,,
17,12,2,219,0,,,,,
17,39,8,531,1,,,,,
3,48,8,551,1,,,,,
14,47,3,561,1,,,,,
19,30,2,409,0,,,,,
20,41,7,559,1,,,,,
0,9,10,160,0,,,,,
5,20,8,281,0,,,,,
16,49,3,591,1,,,,,
11,48,5,570,1,,,,,
10,18,10,300,0,,,,,
15,16,5,270,0,,,,,
14,47,1,547,1,,,,,
17,13,6,257,0,,,,,
17,34,7,474,1,,,,,
4,44,4,488,1,,,,,
13,38,1,452,1,,,,,
7,39,4,453,1,,,,,
16,7,7,199,0,,,,,
1,24,10,315,0,,,,,
2,45,7,509,1,,,,,
9,10,6,187,0,,,,,
11,9,4,173,0,,,,,
9,38,4,453,1,,,,,
7,29,9,388,0,,,,,
0,22,7,269,0,,,,,
2,10,10,180,0,,,,,
5,20,6,267,0,,,,,
4,33,9,413,0,,,,,
15,18,3,276,0,,,,,
19,40,4,523,1,,,,,
6,29,10,390,0,,,,,
6,47,3,521,1,,,,,
11,37,4,453,1,,,,,
1,38,4,413,0,,,,,
8,42,3,481,1,,,,,
8,50,7,589,1,,,,,
20,27,8,426,0,,,,,
0,20,6,242,0,,,,,
12,19,7,299,0,,,,,
0,14,7,189,0,,,,,
12,36,6,462,1,,,,,
14,30,2,384,0,,,,,
20,6,7,209,0,,,,,
4,15,4,198,0,,,,,
15,35,3,446,0,,,,,
13,20,3,286,0,,,,,
19,47,2,579,1,,,,,
10,34,7,439,0,,,,,
7,5,5,120,0,,,,,
18,37,4,488,1,,,,,
13,45,2,529,1,,,,,
5,24,1,272,0,,,,,
13,42,1,492,1,,,,,
5,6,9,148,0,,,,,
2,39,3,421,0,,,,,
2,39,4,428,0,,,,,
15,17,6,287,0,,,,,
4,17,7,239,0,,,,,
5,24,10,335,0,,,,,
1,17,9,238,0,,,,,
16,20,6,322,0,,,,,
3,33,3,366,0,,,,,
10,36,1,417,0,,,,,
2,23,3,261,0,,,,,
6,16,4,218,0,,,,,
4,20,5,255,0,,,,,
9,49,3,556,1,,,,,
19,13,5,260,0,,,,,
2,8,9,153,0,,,,,
15,45,9,588,1,,,,,
5,24,3,286,0,,,,,
15,8,10,225,0,,,,,
14,13,10,270,0,,,,,
3,11,4,153,0,,,,,
5,36,7,434,0,,,,,
11,9,9,208,0,,,,,
0,17,2,184,0,,,,,
4,18,9,263,0,,,,,
4,50,7,569,1,,,,,
11,10,8,211,0,,,,,
11,38,3,456,1,,,,,
20,29,10,460,1,,,,,
6,16,7,239,0,,,,,
9,11,6,197,0,,,,,
8,12,3,181,0,,,,,
17,6,2,159,0,,,,,
3,30,10,385,0,,,,,
2,14,3,171,0,,,,,
20,49,10,660,1,,,,,
8,46,4,528,1,,,,,
14,28,3,371,0,,,,,
6,39,4,448,0,,,,,
3,35,3,386,0,,,,,
2,8,5,125,0,,,,,
13,43,10,565,1,,,,,
17,30,8,441,0,,,,,
18,48,5,605,1,,,,,
10,10,1,157,0,,,,,
13,26,5,360,0,,,,,
18,47,10,630,1,,,,,
15,43,8,561,1,,,,,
1,9,4,123,0,,,,,
7,21,1,252,0,,,,,
7,47,10,575,1,,,,,
5,23,1,262,0,,,,,
14,15,7,269,0,,,,,
8,30,9,403,0,,,,,
13,9,3,176,0,,,,,
14,16,1,237,0,,,,,
1,13,4,163,0,,,,,
3,19,8,261,0,,,,,
15,49,9,628,1,,,,,
4,8,6,142,0,,,,,
4,30,7,369,0,,,,,
6,38,2,424,0,,,,,
3,46,10,545,1,,,,,
9,50,6,587,1,,,,,
12,45,9,573,1,,,,,
15,42,7,544,1,,,,,
13,15,10,285,0,,,,,
15,35,8,481,1,,,,,
0,33,5,365,0,,,,,
11,17,4,253,0,,,,,
3,26,5,310,0,,,,,
18,44,9,593,1,,,,,
5,20,1,232,0,,,,,
14,14,6,252,0,,,,,
0,44,4,468,1,,,,,
14,28,1,357,0,,,,,
11,31,1,372,0,,,,,
19,16,5,290,0,,,,,
19,49,10,655,1,,,,,
7,44,1,482,1,,,,,
5,17,10,265,0,,,,,
